name,external_slug,rarity,source_rarity,token_year,tokendb_source,in_standard_set,classification,slot,converts_to,convert_units
Pendant of Shadows,pendant-of-shadows,Uncommon,Uncommon,2027,Standard Pack,1,Equippable,Neck,Philosopher's Stone,3
Perfected Voidbane Pellet,perfected-voidbane-pellet,Common,Common,2027,Standard Pack,1,Ammunition,slotless,Enchanter's Munition,1
Plague Cult Mark,plague-cult-mark,Rare,Rare,2027,Standard Pack,1,Equippable,Mark,Alchemist's Ink,6
Plague Cultist Greaves,plague-cultist-greaves,Rare,Rare,2027,Participation,0,Equippable,Shins,Mystic Silk,6
Plague Cultist Ring,plague-cultist-ring,Rare,Rare,2027,Standard Pack,1,Equippable,Finger,Philosopher's Stone,6
Potion Cosmic Nectar,potion-cosmic-nectar,Exalted,Transmuted-Exalted (4 pt),2027,Exchange,0,Liquid,slotless,,
Potion Din'tok Extract,potion-dintok-extract,Uncommon,Uncommon,2027,Standard Pack,1,Liquid,slotless,Alchemist's Ink,3
Potion Elder Ichor,potion-elder-ichor,Rare,Rare,2027,Standard Pack,1,Liquid,slotless,Alchemist's Ink,6
Potion Warden Water,potion-warden-water,Common,Common,2027,Standard Pack,1,Liquid,slotless,Alchemist's Ink,1
Potion Warden Whiskey,potion-warden-whiskey,Rare,Rare,2027,Standard Pack,1,Liquid,slotless,Alchemist's Ink,6
Potion Warden Wine,potion-warden-wine,Uncommon,Uncommon,2027,Standard Pack,1,Liquid,slotless,Alchemist's Ink,3
Pouch of Elder Gift,pouch-of-elder-gift,Rare,Rare,2027,Volunteer Recognition,0,Equippable,slotless,Darkwood Plank,6
Ring of Kthala,ring-of-kthala,Ultra Rare,Ultra Rare,2027,Standard Pack,0,Equippable,Finger,,
Rot Runestone,rot-runestone,Rare,Rare,2027,Standard Pack,1,Equippable,Runestone,Darkwood Plank,6
Scroll Bless,scroll-bless,Uncommon,Uncommon,2027,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,3
Scroll Dream Break,scroll-dream-break,Common,Common,2027,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,1
Scroll Elder Ire,scroll-elder-ire,Common,Common,2027,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,1
Scroll Kon'oid's Shriek,scroll-konoids-shriek,Uncommon,Uncommon,2027,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,3
Scroll Kthala's Wrath,scroll-kthalas-wrath,Rare,Rare,2027,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,6
Scroll Restore Mind,scroll-restore-mind,Rare,Rare,2027,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,6
Scroll Sun Strike,scroll-sun-strike,Uncommon,Uncommon,2027,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,3
Scroll Voidbane Blast,scroll-voidbane-blast,Common,Common,2027,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,1
Shield of Diversion,shield-of-diversion,Rare,Rare,2027,Standard Pack,1,Equippable|Shield,Offhand,Aragonite,1
Shield of Frostward,shield-of-frostward,Uncommon,Uncommon,2027,Standard Pack,1,Equippable|Shield,Offhand,Oil of Enchantment,1
Shirt of Cat's Gift,shirt-of-cats-gift,Ultra Rare,Ultra Rare,2027,Appreciation,0,Equippable|No Party Card Effect,Shirt,,
Shirt of Vested Awe,shirt-of-vested-awe,Uncommon,Uncommon,2027,Standard Pack,1,Equippable,Shirt,Mystic Silk,3
Shuriken of Fire,shuriken-of-fire,Rare,Rare,2027,Standard Pack,1,Weapon,Mainhand,Aragonite,1
Smith's Charm of Unified Synergy,smiths-charm-of-unified-synergy,Legendary,Transmuted-Legendary,2027,Exchange,0,Equippable|Timeless,Charm,,
Spirit Pet Owl,spirit-pet-owl,Ultra Rare,Ultra Rare,2027,Standard Pack,0,Weapon,Spirit Pet,,
Throwing Gloves,throwing-gloves,Uncommon,Uncommon,2027,Standard Pack,1,Equippable,Hands,Mystic Silk,3
Throwing Hammer,throwing-hammer,Uncommon,Uncommon,2027,Standard Pack,1,Equippable|Weapon,Mainhand,Elven Bismuth,1
Tobin's Cosmic Ring,tobins-cosmic-ring,Ultra Rare,Ultra Rare,2027,Standard Pack,0,Equippable,Finger,,
Tome of Elder Lore,tome-of-elder-lore,Ultra Rare,Ultra Rare,2027,Volunteer Recognition,0,,slotless,,
Treasure Chip,treasure-chip,,Special,2027,Dungeon Only,0,none,slotless,,
Trinket of Void Beast,trinket-of-void-beast,Rare,Rare,2027,Standard Pack,1,Equippable|No Party Card Effect,slotless,Darkwood Plank,6
Very Basic Cloak,very-basic-cloak,Rare,Rare,2027,Standard Pack,1,Equippable,Back,Mystic Silk,6
Void Cultist Amulet,void-cultist-amulet,Rare,Rare,2027,Participation,0,Equippable,Neck,Philosopher's Stone,6
Void Hunter Gloves,void-hunter-gloves,Uncommon,Uncommon,2027,Standard Pack,1,Equippable,Hands,Mystic Silk,3
Voidbane Pistol,voidbane-pistol,Uncommon,Uncommon,2027,Standard Pack,1,Equippable|Weapon,Mainhand,Elven Bismuth,1
Voidbane Rifle,voidbane-rifle,Uncommon,Uncommon,2027,Standard Pack,1,Equippable|Weapon,Mainhand,Elven Bismuth,1
Voidbane Seed,voidbane-seed,Common,Common,2027,Standard Pack,1,Weapon,slotless,Dwarven Steel,1
Voidbane Shooter,voidbane-shooter,Common,Common,2027,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Voidbane Sidearm,voidbane-sidearm,Common,Common,2027,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Voidbane Slayer Gloves,voidbane-slayer-gloves,Rare,Rare,2027,Standard Pack,1,Equippable,Hands,Mystic Silk,6
Warden Battle Axe,warden-battle-axe,Common,Common,2027,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Warden Cinder Coat,warden-cinder-coat,Common,Common,2027,Standard Pack,1,Equippable,Torso (armor),Minotaur Hide,1
Warden Cloak,warden-cloak,Common,Common,2027,Standard Pack,1,Equippable,Back,Mystic Silk,1
Warden Club,warden-club,Common,Common,2027,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Warden Coif,warden-coif,Common,Common,2027,Standard Pack,1,Equippable,Head,Minotaur Hide,1
Warden Gloves,warden-gloves,Common,Common,2027,Standard Pack,1,Equippable,Hands,Mystic Silk,1
Warden Halberd,warden-halberd,Uncommon,Uncommon,2027,Standard Pack,1,Equippable|Weapon,Mainhand,Elven Bismuth,1
Warden Holy Symbol,warden-holy-symbol,Uncommon,Uncommon,2027,Standard Pack,1,Holy Symbol,slotless,Darkwood Plank,3
Warden Leather Armor,warden-leather-armor,Common,Common,2027,Standard Pack,1,Equippable,Torso (armor),Minotaur Hide,1
Warden Long Sword,warden-long-sword,Common,Common,2027,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Warden Lucid Coat,warden-lucid-coat,Common,Common,2027,Standard Pack,1,Equippable,Torso (armor),Minotaur Hide,1
Warden Pants,warden-pants,Uncommon,Uncommon,2027,Standard Pack,1,Equippable,Legs,Mystic Silk,3
Warden Plate Armor,warden-plate-armor,Uncommon,Uncommon,2027,Standard Pack,1,Equippable,Torso (armor),Oil of Enchantment,1
Warden Robes,warden-robes,Common,Common,2027,Standard Pack,1,Equippable,Torso (armor),Minotaur Hide,1
Warden Shield,warden-shield,Common,Common,2027,Standard Pack,1,Equippable|Shield,Offhand,Minotaur Hide,1
Warden Shirt,warden-shirt,Common,Common,2027,Standard Pack,1,Equippable,Shirt,Mystic Silk,1
Warden Short Sword,warden-short-sword,Common,Common,2027,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Warden Spectacles,warden-spectacles,Common,Common,2027,Standard Pack,1,Equippable,Eyes,Darkwood Plank,1
Warden War Club,warden-war-club,Common,Common,2027,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Warden War Girdle,warden-war-girdle,Uncommon,Uncommon,2027,Standard Pack,1,Equippable,Waist,Mystic Silk,1
Warden War Hammer,warden-war-hammer,Uncommon,Uncommon,2027,Standard Pack,1,Equippable|Weapon,Mainhand,Elven Bismuth,1
Warden Watch Armor,warden-watch-armor,Rare,Rare,2027,Standard Pack,1,Equippable,Torso (armor),Aragonite,1
