name,external_slug,rarity,source_rarity,token_year,tokendb_source,in_standard_set,classification,slot,converts_to,convert_units
Ioun Stone Obsidian Shard,ioun-stone-obsidian-shard,Exalted,Transmuted-Exalted (4 pt),2026,Exchange,0,Equippable,Ioun Stone,,
Ioun Stone of Envy,ioun-stone-of-envy,Rare,Rare,2026,Participation,0,Equippable,Ioun Stone,Darkwood Plank,6
Ioun Stone of Mystic Heroism,ioun-stone-of-mystic-heroism,Relic,Transmuted-Relic (5 pt),2026,Exchange,0,Equippable,Ioun Stone,,
Ioun Stone of Pride,ioun-stone-of-pride,Rare,Rare,2026,Participation,0,Equippable,Ioun Stone,Darkwood Plank,6
Ioun Stone of the Champion,ioun-stone-of-the-champion,Ultra Rare,Ultra Rare,2026,Volunteer Recognition,0,Equippable,Ioun Stone,,
Ioun Stone of the Dead,ioun-stone-of-the-dead,Rare,Rare,2026,Participation,0,Equippable,Ioun Stone,Darkwood Plank,6
Ioun Stone of the Grave,ioun-stone-of-the-grave,Rare,Rare,2026,Participation,0,Equippable,Ioun Stone,Darkwood Plank,6
Ioun Stone of the Hero,ioun-stone-of-the-hero,Rare,Rare,2026,Volunteer Recognition,0,Equippable,Ioun Stone,Darkwood Plank,6
Ioun Stone of the Night,ioun-stone-of-the-night,Rare,Rare,2026,Participation,0,Equippable,Ioun Stone,Darkwood Plank,6
Ioun Stone of Wrath,ioun-stone-of-wrath,Rare,Rare,2026,Participation,0,Equippable,Ioun Stone,Darkwood Plank,6
Ioun Stone Rock Candy,ioun-stone-rock-candy,Rare,Rare,2026,Participation,0,Equippable,Ioun Stone,Darkwood Plank,6
Lady Ashley's Triad Shield,lady-ashleys-triad-shield,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable|Shield,Offhand,,
Lenses of the Artificer,lenses-of-the-artificer,Rare,Rare,2026,Standard Pack,1,Equippable,Eyes,Darkwood Plank,6
Lycan Mystic Staff,lycan-mystic-staff,Common,Common,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Lyre of Lore,lyre-of-lore,Rare,Rare,2026,Standard Pack,1,Musical Instrument,Mainhand,Darkwood Plank,6
Mark of Enlightenment,mark-of-enlightenment,Paragon,Paragon,2026,Exchange,0,Equippable,Mark,,
Mark of the 1st Tenet,mark-of-the-1st-tenet,Ultra Rare,Ultra Rare,2026,Appreciation,0,Equippable,Mark,,
Mark of the Tenets,mark-of-the-tenets,Relic,Transmuted-Relic (5 pt),2026,Exchange,0,Equippable,Mark,,
Melonbrant Concentrate,melonbrant-concentrate,,Quest,2026,Participation,0,none,slotless,Golden Fleece,1
Mirthwood Bliss Blossom,mirthwood-bliss-blossom,,Quest,2026,Participation,0,none,slotless,Golden Fleece,1
Mongo's Miracle Bead,mongos-miracle-bead,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Bead,,
Moon Fate Card,moon-fate-card,Common,Common,2026,Standard Pack,1,Equippable,slotless,Darkwood Plank,1
Mythic Bead of Defiance,mythic-bead-of-defiance,Mythic,Transmuted-Mythic,2026,Exchange,0,Equippable|Timeless,Bead,,
Mythic Charm of Fate,mythic-charm-of-fate,Mythic,Transmuted-Mythic,2026,Exchange,0,Equippable|Timeless,Charm,,
Mythic Ettin Ring,mythic-ettin-ring,Mythic,Transmuted-Mythic,2026,Exchange,0,Equippable|Timeless,Finger,,
Mythic Ioun Stone of Judgment,mythic-ioun-stone-of-judgment,Mythic,Transmuted-Mythic,2026,Exchange,0,Equippable|Timeless,Ioun Stone,,
Mythic Transmuter,mythic-transmuter,Safehold,Safehold,2026,Exchange,0,Timeless,slotless,,
Nil Crystal,nil-crystal,,Quest,2026,Participation,0,none,slotless,Golden Fleece,1
Path to Enlightenment (Fragment 4),path-to-enlightenment-fragment-4,Paragon,Paragon,2026,Appreciation,0,none,slotless,,
Pemberton Pain Extract,pemberton-pain-extract,,Quest,2026,Participation,0,none,slotless,Golden Fleece,1
Pilgrim Fate Card,pilgrim-fate-card,Rare,Rare,2026,Appreciation,0,Equippable,slotless,Darkwood Plank,6
Potion Angel Agility,potion-angel-agility,Rare,Rare,2026,Standard Pack,1,Liquid,slotless,Alchemist's Ink,6
Potion Sacred Wine,potion-sacred-wine,Rare,Rare,2026,Standard Pack,1,Liquid,slotless,Alchemist's Ink,6
Potion St. Gubb's Grog,potion-st-gubbs-grog,Uncommon,Uncommon,2026,Standard Pack,1,Liquid,slotless,Alchemist's Ink,3
Potion St. Raya's Remedy,potion-st-rayas-remedy,Common,Common,2026,Standard Pack,1,Liquid,slotless,Alchemist's Ink,1
Potion St. Wilton's Wine,potion-st-wiltons-wine,Common,Common,2026,Standard Pack,1,Liquid,slotless,Alchemist's Ink,1
Red Ridder,red-ridder,Rare,Rare,2026,Participation,0,Equippable|Weapon,Mainhand,Aragonite,1
Reveler Fate Card,reveler-fate-card,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,slotless,Darkwood Plank,3
Ring Con Thank You,ring-con-thank-you,,Special,2026,Appreciation,0,none,slotless,,
Ring of the 1st Circle,ring-of-the-1st-circle,Premium,Premium,2026,Appreciation,0,Equippable,Finger,,
Ring of the Ioun,ring-of-the-ioun,Ultra Rare,Ultra Rare,2026,Exchange,0,Equippable,Finger,,
Ring of the Order,ring-of-the-order,Rare,Rare,2026,Participation,0,Equippable,Finger,Philosopher's Stone,6
Ring of the Sacred Circle,ring-of-the-sacred-circle,Arcanum,Transmuted-Grand Arcanum,2026,Exchange,0,Equippable,Finger,,
Ring of the Ten Saints,ring-of-the-ten-saints,Ultra Rare,Ultra Rare,2026,Participation,0,Equippable,Finger,,
Ring of the Vampire,ring-of-the-vampire,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Finger,,
Ring of the Vampire Lord,ring-of-the-vampire-lord,Relic,Transmuted-Relic (5 pt),2026,Exchange,0,Equippable,Finger,,
Ring of Undeath,ring-of-undeath,Rare,Rare,2026,Standard Pack,1,Equippable,Finger,Philosopher's Stone,6
Sacred Reach Bracers,sacred-reach-bracers,Rare,Rare,2026,Standard Pack,1,Equippable,Wrist,Mystic Silk,6
Saintly Runestone,saintly-runestone,Rare,Rare,2026,Standard Pack,1,Equippable,Runestone,Darkwood Plank,6
